ID,Cluster,MDS_Dim1,MDS_Dim2,MDS_Dim3,Dist,Velo,AM_Freq
0,0,-0.24397642739139808,0.4313598079322049,-0.03250557272920099,0.05,10,0
1,0,-0.0008245396120266258,0.33524743323754463,0.03887753676801089,0.05,10,20
2,1,-0.04988708730740954,-0.23040660587389028,0.08309329536592486,0.05,10,100
3,0,-0.30040078059569103,0.29933142666291973,0.05025186885291407,0.05,100,0
4,0,-0.04289429147612852,0.2468254034782282,0.22153491592076838,0.05,100,20
5,1,-0.04839472396267034,-0.44498799203587813,0.05780682216897676,0.05,100,100
6,0,0.03007905068471787,0.3302219247529178,-0.12847456177471567,0.05,1000,0
7,0,-0.01771050575442305,0.1535110228722964,0.14813495355796427,0.05,1000,20
8,1,-0.02666507004575857,-0.39563268915148786,0.09810625024257384,0.05,1000,100
9,0,-0.2057416899431146,0.31884813865926137,0.2126182289575763,4.0,10,0
10,0,0.002436078617461028,0.4051555332054704,0.08325328908907831,4.0,10,20
11,1,0.02536419717537835,-0.45101406804602684,-0.02836405536930231,4.0,10,100
12,0,0.13498354340823665,0.06885242640745144,-0.19996733474788125,4.0,100,0
13,0,0.05123838919882502,0.2115585497310733,-0.10771585324148704,4.0,100,20
14,1,0.11390472094787878,-0.3818278963288641,0.05514763476219943,4.0,100,100
15,1,0.12052884710946488,-0.4087732669460522,-0.21798537947107732,4.0,1000,0
16,1,0.3381528921926559,-0.05444087281058226,-0.1502162585287163,4.0,1000,20
17,1,0.11980739675400179,-0.4338282757465867,-0.1835957798236061,4.0,1000,100
